bidPrice,askPrice
0.00731600,0.00732600
0.00731600,0.00732600
0.00731600,0.00732600
0.00731800,0.00732600
0.00731800,0.00732600
0.00731800,0.00732600
0.00731800,0.00732600
0.00731800,0.00732500
0.00731900,0.00732500
0.00731900,0.00732500
0.00731900,0.00732500
0.00731900,0.00732500
0.00731900,0.00732500
0.00731900,0.00732500
0.00731900,0.00732500
0.00731900,0.00732500
0.00731900,0.00732500
0.00731900,0.00732400
0.00731900,0.00732500
0.00731000,0.00732400
0.00731800,0.00732500
0.00731800,0.00732500
0.00731800,0.00732500
0.00731800,0.00732500
0.00731800,0.00732500
0.00731900,0.00732500
0.00731900,0.00732500
0.00731800,0.00732500
0.00731800,0.00732500
0.00731800,0.00732500
0.00731900,0.00732500
0.00732000,0.00732500
0.00732000,0.00732500
0.00732000,0.00732500
0.00732000,0.00732500
0.00732000,0.00732500
0.00732000,0.00732500
0.00732000,0.00732500
0.00732000,0.00732500
0.00732000,0.00732500
0.00732000,0.00732500
0.00732000,0.00732500
0.00732000,0.00732400
0.00731800,0.00732300
0.00731900,0.00732400
0.00732000,0.00732500
0.00732000,0.00732500
0.00732000,0.00732500
0.00732000,0.00732500
0.00732000,0.00732500
0.00732000,0.00733200
0.00732000,0.00733200
0.00732000,0.00732700
0.00732000,0.00732600
0.00732100,0.00733100
0.00732100,0.00732900
0.00732100,0.00732900
0.00732300,0.00732900
0.00731800,0.00732700
0.00731800,0.00732700
0.00731900,0.00732700
0.00731800,0.00732600
0.00731800,0.00732600
0.00731600,0.00732500
0.00731600,0.00732500
0.00731800,0.00732900
0.00731800,0.00732800
0.00731800,0.00732700
0.00731900,0.00732800
0.00732100,0.00732800
0.00732200,0.00732900
0.00732200,0.00732900
0.00732200,0.00732900
0.00732200,0.00732900
0.00732200,0.00732900
0.00732200,0.00733200
0.00732200,0.00733200
0.00732200,0.00733200
0.00732200,0.00733100
0.00732200,0.00733100
0.00732200,0.00733300
0.00732200,0.00733200
0.00732200,0.00733000
0.00732200,0.00733000
0.00732300,0.00733000
0.00732400,0.00733200
0.00732400,0.00733000
0.00732400,0.00733000
0.00732400,0.00733000
0.00732400,0.00732900
0.00732400,0.00733000
0.00732400,0.00733300
0.00732400,0.00733000
0.00732300,0.00733000
0.00732300,0.00733000
0.00731100,0.00732800
0.00731300,0.00732800
0.00731400,0.00732800
0.00731400,0.00732800
0.00731400,0.00732800
0.00731400,0.00732800
0.00731600,0.00732800
0.00731600,0.00732800
0.00731600,0.00732800
0.00731600,0.00732700
0.00731800,0.00732700
0.00732000,0.00732700
0.00732100,0.00732800
0.00732100,0.00732800
0.00732000,0.00732700
0.00732100,0.00732800
0.00732100,0.00732700
0.00732100,0.00732700
0.00732100,0.00732700
0.00732100,0.00732700
0.00732100,0.00732700
0.00732100,0.00732700
0.00732200,0.00732700
0.00732300,0.00732700
0.00732300,0.00732700
0.00732300,0.00732700
0.00732300,0.00732700
0.00732300,0.00732700
0.00732300,0.00732700
0.00732300,0.00732700
0.00732300,0.00732700
0.00732300,0.00732800
0.00732300,0.00732800
0.00731700,0.00732700
0.00732400,0.00732700
0.00732400,0.00732700
0.00732400,0.00732800
0.00732400,0.00732800
0.00731800,0.00732500
0.00731800,0.00732500
0.00732200,0.00732500
0.00732200,0.00732500
0.00732300,0.00732800
0.00732300,0.00732800
0.00732200,0.00732800
0.00732300,0.00732800
0.00732300,0.00732800
0.00732400,0.00732800
0.00730500,0.00731400
0.00730900,0.00732500
0.00731000,0.00731700
0.00731100,0.00731900
0.00731500,0.00732900
0.00731200,0.00731900
0.00731100,0.00732100
0.00731300,0.00732400
0.00731300,0.00732500
0.00731300,0.00732400
0.00731300,0.00732500
0.00732100,0.00732500
0.00731800,0.00732500
0.00731800,0.00732500
0.00731800,0.00732500
0.00731500,0.00732500
0.00731600,0.00732600
0.00731600,0.00732500
0.00731600,0.00732500
0.00731600,0.00732500
0.00732300,0.00732600
0.00731300,0.00733600
0.00731900,0.00733500
0.00732400,0.00733500
0.00732700,0.00733600
0.00733000,0.00733700
0.00733000,0.00733700
0.00733000,0.00733600
0.00733000,0.00733600
0.00733200,0.00733600
0.00733100,0.00733600
0.00733200,0.00733500
0.00733100,0.00733400
0.00733200,0.00733400
0.00733300,0.00733800
0.00733300,0.00733800
0.00733300,0.00733800
0.00733300,0.00733800
0.00733300,0.00733700
0.00733300,0.00733700
0.00734200,0.00735400
0.00734600,0.00735300
0.00734400,0.00735500
0.00734600,0.00735500
0.00734300,0.00735600
0.00734500,0.00735600
0.00734000,0.00735400
0.00734200,0.00735100
0.00734100,0.00734900
0.00734300,0.00735800
0.00734200,0.00735700
0.00734300,0.00735800
0.00734300,0.00735700
0.00734300,0.00735800
0.00734300,0.00735700
0.00734300,0.00735700
0.00734300,0.00735700
0.00734300,0.00735700
